name,n_trials,sources,p_feasible,time_mean,time_sd,time_p10,time_p50,time_p90,score_mean,score_p10,score_p50,score_p90,p_finish_mean,gm_p10,gm_p50,freeboard_p10,gz_margin_p10,swamp_reserve_p10,warp_p90,twist_p90,tape_spare_p10,board_spare_p10,p_feasible_se,score_p10_se,score_mean_se,time_mean_se,robust_score,crew_posture,crew_x_frac,length,bottom_width,beam,side_height,bow_rocker,chine_frac,n_frames,free_water_lanes,chine_tape_layers,skin_layers,decked_ends,bow_taper,bow_sheer,tape_diag_density,pre_race_soak_min,pacing,source,orig_name
carter_r026503,4000,"build,race,model",0.2905,81.24685000000096,6.3887393181286205,73.45600000000252,80.74000000000107,89.71999999999929,46.27546000861887,27.909837358719937,48.33678070272079,60.83587055738995,0.3849113427578812,9.294679459261266,10.238071786924271,6.145814581673651,1.1647330842658528,4.453125,0.0182094222055168,7.568654171179875,0.1297859005989179,0.2287291059762513,0.0071782614538619,0.3470689343160683,0.1991230927234051,0.1010148381117875,27.909837358719937,back_on_heels|back_on_heels,0.27|0.75,100.06797772357956,26.18503850986504,27.88820749439928,11.536933442476345,2.0545926433305124,0.9121992171244306,8,1,3,1,True,0.6946048919760586,4.624238699782027,0.6085052283554445,4.834637013050246,even,carter,r026503
mac_r036928,4000,"build,race,model",0.17625,88.96539999999945,7.113593244077878,80.34000000000115,88.30999999999958,98.45999999999756,42.613097454691506,27.864055034739607,43.22789916980605,56.36166182346654,0.4077432226229948,8.559687894721662,9.508689067184145,6.819340760554011,1.5653887740545458,40.0,0.0612972798669268,3.858841143234911,0.1711294868724467,0.2839661334060273,0.0060246563698687,0.3122446618658047,0.1690764439419782,0.1124757849963609,27.864055034739607,back_on_heels|back_on_heels,0.27|0.75,88.2046515043454,24.77983702970163,34.19224293091757,12.57313832974447,0.5474815034580074,0.6668768580341289,8,1,2,1,True,21.92754856501563,2.6020913031798742,0.658211260727857,1.3306909620137084,even,mac,r036928
mac_r021191,4000,"build,race,model",0.20325,78.85763500000144,6.128203980593911,71.62000000000289,78.1200000000016,86.91999999999985,43.51193472727341,27.784219761851137,44.83393535957247,57.45425928091279,0.4526381411969846,5.937596534411456,6.687487914976255,9.389807552431556,1.2583794719884975,40.0,0.0511862652850401,5.689264676702671,-0.0188958503240906,0.1093616681264793,0.0063627713596356,0.3325989862069131,0.1814636036376229,0.0968954127239353,27.784219761851137,back_on_heels|back_on_heels,0.27|0.75,108.38611383457912,22.485695911502205,29.2291770114534,14.895672300545945,3.120990257647365,0.8784220696340352,9,3,1,1,True,0.5362607683894365,1.4874372830507807,0.6556621648753792,2.414664842185738,even,mac,r021191
carter_r034146,4000,"build,race,model",0.843,87.97149999999962,7.109792615663225,79.21800000000138,87.41999999999975,97.07999999999782,52.81144308646447,27.747957824418172,57.81835593142844,68.20377989488487,0.5772060148074322,19.80851295485399,21.37157537532859,6.669267505849261,2.5821958861415935,40.0,0.0547750164920138,6.6063597823259,0.0409623722803144,0.2127173978566793,0.0057521952331262,0.3934121881554784,0.2454886793979422,0.1124156917847096,27.747957824418172,back_on_heels|back_on_heels,0.27|0.75,98.1663721195596,32.36753998661412,37.05354248240669,11.50445441608914,4.614083721006833,0.4996219988458653,3,2,3,1,True,19.485559447625235,2.2959105397958197,0.4082456606457888,4.325106357074153,even,carter,r034146
carter_r016120,4000,"build,race,model",0.2115,76.73568000000186,5.949470042451908,69.44000000000332,76.5600000000019,84.50000000000033,44.934800789954174,27.694382728749773,46.26414331471722,59.73356873642357,0.3960020166576736,8.080435353599645,8.987507235204472,7.3212557815650445,1.2167695152185385,40.0,0.0238446814406013,8.00697506735987,0.0941423956183807,0.1958819428558165,0.0064569294173004,0.3482783776536011,0.1908183453856174,0.0940693810254334,27.694382728749773,kneeling_low|kneeling_low,0.27|0.75,103.48632612176672,28.248902045182906,32.20511501667094,12.515790759592878,0.2400808594239903,0.7366309948682572,7,2,1,1,True,25.69782323106373,0.0324570672741762,0.5992693334999295,9.74005668768574,even,carter,r016120
carter_r032143,4000,"build,race,model",0.1265,88.31371499999958,7.316828410811069,79.16000000000139,87.92999999999964,97.89999999999766,43.4218806089896,27.686267659998276,44.32863391436969,57.34508285757944,0.4135302362692175,9.306953226853585,10.30358014651523,6.348814940956134,1.2908922081008352,40.0,0.0337077255439619,3.8136368915487866,0.1333053268867768,0.1039367969434984,0.0052558954993416,0.313372689329322,0.1774922121893869,0.1156892151339657,27.686267659998276,kneeling_upright|kneeling_upright,0.28|0.7,86.76440780407913,30.414129203127224,34.31424601278341,11.186502543423718,0.4398906661293126,0.6032957903097149,5,2,2,2,True,20.41114574380775,3.0004082148612135,0.5269930154300799,6.061616571321073,even,carter,r032143
carter_r047184,4000,"build,race,model",0.58375,73.9665300000024,5.445749425541917,67.26000000000376,73.74000000000247,81.14200000000099,48.66242584057772,27.590697229187153,51.20061216354715,64.79234905972194,0.4526823585530902,12.167215347107875,13.377171351884456,5.662090162744665,1.4582239234194476,6.015625,0.0285706676634618,11.57368770216018,0.0015596767529108,0.17111889074811,0.0077940031033481,0.3896460993251939,0.2202650976003377,0.0861048587563299,27.590697229187153,back_on_heels|back_on_heels,0.31|0.69,114.13007796173012,26.96164040531605,28.207054227068664,10.271143277371069,4.952884861921099,0.4081409094573813,10,1,3,1,True,5.240733352580854,4.16635286795917,0.5706056519652871,6.517138273575955,even,carter,r047184
mac_r047214,4000,"build,race,model",0.4585,95.39003499999816,7.988608017875562,85.58000000000011,95.07999999999822,105.30199999999618,43.360952840630176,27.55453788141758,44.98920008691567,56.976257820663065,0.4741304765520998,7.037447621580993,7.950646681090217,8.407026411617785,1.4972617779065942,40.0,0.0657596428280079,2.54465527323776,0.1680700055261608,0.0720075411359901,0.0078784159258064,0.3153247931927425,0.1813979992426282,0.1263109833538494,27.55453788141758,back_on_heels|back_on_heels,0.27|0.75,85.8702703738162,22.770399653092863,32.1055758946174,15.433450995355305,0.9703275948499543,0.6015810087470552,6,1,2,2,True,2.496603302439476,4.748113855358608,0.634038726186451,4.669700587440507,even,mac,r047214
mac_r037392,4000,"build,race,model",0.21975,90.40678499999916,7.447109165473781,81.41800000000094,89.6399999999993,100.1599999999972,45.23540825526339,27.51219671456328,47.276618312878895,59.78249707931159,0.4333488609535294,9.117371153397272,10.144736651106548,7.733464001341368,1.268838584084196,40.0,0.0252076819965303,3.012913937927579,-0.0076976508765495,0.2608287807887773,0.006547135585506,0.3448168701563708,0.1943008764494133,0.1177491347340645,27.51219671456328,kneeling_upright|kneeling_upright,0.27|0.75,83.326220104083,31.92697732692255,37.82865657284837,13.447505072328712,0.0253780624475705,0.994830556220096,4,2,2,1,True,11.913314767644934,1.032352866744942,0.5813641286420826,4.658116377533407,even,mac,r037392
carter_r030224,4000,"build,race,model",0.124,86.17425,6.870304972130694,77.95800000000163,85.72000000000008,95.1399999999982,42.22614518443838,27.504113638200636,42.425543131314896,56.11535790991838,0.3749471454684552,5.078628780065314,5.7613051831760815,10.499865724570132,1.2836879154310008,40.0,0.0186584788699297,4.8853797653095254,0.0231886312403773,0.2088073584891929,0.0052111419094091,0.3130087950787933,0.1707260970186175,0.1086290596595631,27.504113638200636,back_on_heels|back_on_heels,0.28|0.7,95.29127443773888,26.612747161499176,32.242566466493685,16.310414002712342,0.4094814873624307,0.7864944563477252,7,2,2,1,True,33.03828278605661,4.377538911183141,0.4668842497917527,6.545557457348929,even,carter,r030224
carter_r008546,4000,"build,race,model",0.8215,75.46994500000211,5.468134007076196,68.72000000000347,75.24000000000217,82.68400000000068,57.16843197847306,27.50202208982189,62.224354790381554,76.7426763603381,0.5554772498876346,19.39121224268152,21.231087750634824,8.809600208004133,1.8291443476356684,7.890625,0.0250176958347432,13.144176216604862,0.0952923996428383,0.1245557873388235,0.0060547037499781,0.547620359264939,0.2873051872889722,0.0864587900669202,27.50202208982189,kneeling_upright|kneeling_upright,0.24|0.78,108.93140421255936,33.77484484347774,35.213691389703314,12.844150457927013,3.223999317794479,0.2974607828446157,9,1,3,1,True,18.95416767485505,1.5630920715387433,0.2792709016351854,11.720796641870246,even,carter,r008546
carter_r059256,4000,"build,race,model",0.0325,86.44889999999994,6.895980222259017,78.06000000000161,86.09,95.40399999999816,46.84040083477039,27.432203401951764,48.84535213952877,61.539457403397705,0.449625894666445,5.266880899219343,5.910842231563733,9.808558544248296,1.0733130521246474,40.0,0.0308333828810788,4.441411438158367,-0.0046992216501128,0.2234072416483899,0.0028037363463778,0.3334706211855767,0.2049231957903705,0.1090350210090633,27.432203401951764,back_on_heels|back_on_heels,0.31|0.69,96.06638208472228,24.77108510417721,27.532004525949233,15.616140120187229,4.275104331891825,0.638117464451074,8,2,2,1,True,13.910901712158324,2.630754518087918,0.8166212640678856,6.029497444552564,even,carter,r059256
mason_r033289,4000,"build,race,model",0.18425,88.70722499999948,7.223194122594757,79.6400000000013,88.22999999999959,98.2039999999976,43.470737314944834,27.4278400263596,44.382969143730776,57.81859726025986,0.4206290724394498,11.584947472614123,12.96922374182992,5.075830137969074,1.4518980427194623,40.0,0.0494050344040173,3.7418505967280407,0.0656784393026322,0.2745701248892783,0.0061298845319467,0.3350736246737201,0.1807460041098491,0.1142087270447047,27.4278400263596,kneeling_low|kneeling_low,0.27|0.75,85.67045006759575,28.244777230503782,32.39924331127432,10.24743368888681,0.2666696824941743,0.426386607889079,7,2,1,1,True,6.268422944000888,3.392579154859008,0.8869373142990884,3.489474760332417,even,mason,r033289
carter_r012650,4000,"build,race,model",0.152,71.57728000000284,5.064229971860746,65.14000000000418,71.52000000000291,77.88000000000164,53.998588175601,27.38731605650217,59.52602643046626,69.36785091841544,0.6031149859942072,10.629389987065675,12.019363123319998,10.24987754939208,1.1349757137951206,40.0,0.0635405377927103,9.8479362209931,-0.008739924769354,0.0295497504064448,0.0056766187118741,0.3581356700068109,0.2608031048044689,0.0800725065298518,27.38731605650217,kneeling_tall|kneeling_tall,0.34|0.66,117.55113542317623,28.211896059740468,37.21453695833702,14.747718217436203,4.481211588772899,0.6599514997610508,7,2,2,1,True,3.1660833334748615,0.920060307200406,0.2820049694850053,7.194895502031912,even,carter,r012650
mason_r011683,4000,"build,race,model",0.219,87.6337099999997,6.916314415001154,79.1380000000014,87.25999999999978,96.47999999999794,43.81068427327801,27.361931166836587,45.145033593936965,57.77124161785883,0.4081708355494338,6.511915788247165,7.252832515282353,10.422379663296752,1.442488456137374,40.0,0.0344034854192245,5.824470134811877,0.130062244222376,0.1892060062426772,0.0065390939739385,0.3349324916222698,0.1824962296457744,0.1093565328262934,27.361931166836587,back_on_heels|back_on_heels,0.27|0.75,94.00508526337488,26.17790647340119,37.08957325166081,16.462699591469626,0.5292161267435485,0.9815525403464688,8,1,2,1,True,19.41701381868997,4.771740005294509,0.3525704949682449,11.52114440414982,even,mason,r011683
mason_r048447,4000,"build,race,model",0.124,88.6269749999995,7.145303932753844,79.81800000000126,88.1599999999996,98.03999999999763,45.873207669387114,27.35999993881463,47.66317327821403,61.205031306086816,0.4220720863317471,8.864325293564896,9.88030198707971,7.877385982474836,1.133372467102176,40.0,0.0295709731457137,6.0427392604958685,0.1211817065272577,0.2317445565473409,0.0052111419094091,0.3691940655939012,0.2028614513010493,0.1129771750083037,27.35999993881463,kneeling_upright|kneeling_upright,0.3|0.72,90.27062550890206,31.117458379420977,34.77115509931114,13.164207672118348,4.553668704203606,0.9002683557856384,5,2,2,1,True,8.594077415878967,0.7029673063646401,0.302980959876088,9.440254591556933,even,mason,r048447
mac_r038617,4000,"build,race,model",0.8155,81.31892000000097,6.304344154818154,73.76000000000246,80.72000000000108,89.85999999999926,52.73201549819511,27.35552754687822,57.07146709962296,69.43790715822243,0.5272716540477143,14.117653705865331,15.255076149053371,7.487500486393117,1.8720371831736624,8.359375,0.0380370642832144,5.758074304734775,0.0467168413046308,0.2374227431403189,0.0061331017845785,0.4273753601658477,0.2483252958256174,0.0996804334139727,27.35552754687822,back_on_heels|back_on_heels,0.28|0.7,99.7458050219147,29.195993182956016,33.521443144615716,12.27932916073732,0.7428400942867236,0.610465209285018,3,1,3,1,True,7.270998698163479,2.7050414264174565,0.5400039427998653,3.531399867451217,even,mac,r038617
mac_r049851,4000,"build,race,model",0.71775,82.02455000000081,6.517960958094639,74.0600000000024,81.48000000000093,90.76199999999908,45.40325431872651,27.330887020200183,47.40601723755069,60.166664938988376,0.4667790596600292,11.679671526995124,13.18769646425462,6.969786010698832,1.7526837063686345,40.0,0.038720145754418,5.471188308512656,0.1128947958324705,0.0201660987451741,0.0071166167787088,0.353640929239354,0.2005247735438426,0.1030580116381618,27.330887020200183,kneeling_low|kneeling_low,0.27|0.75,95.3765175479322,30.515757338900443,37.01909761684192,12.30945515722283,3.4059730463301143,0.4450777912504182,6,3,1,2,True,32.653257272102884,0.6200171365311906,0.3845134658780335,7.7198545908905825,even,mac,r049851
